"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Les fruits et légumes","","","Le vrac","","","Les fromages","","","Autres produits frais (ex: yahourts, pâtes)","","","Autres produits (boissons, produits ménagers, etc)","","","","","","Si l'épicerie test du Super Cafoutch pouvait ouvrir tous les jours, quel(s) jour(s) choisirais-tu pour y faire tes courses ?","","","","","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le LUNDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le MARDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le MERCREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le JEUDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le VENDREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le SAMEDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le DIMANCHE ?","","","","Pourquoi n’as-tu jamais fait de créneau ?","","","","","","","Comment pourrait-on te faciliter la gestion de tes créneaux?","","","","","Si l'épicerie test du Super Cafoutch pouvait ouvrir tous les jours, quel(s) jour(s) choisirais-tu pour y faire ton créneau mensuel de 3h ?","","","","","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le LUNDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le MARDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le MERCREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le JEUDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le VENDREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le SAMEDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le DIMANCHE ?","","","","Pourquoi?","","","","","","","Pourquoi ?","","","","","","","","","","Laquelle ou lesquelles?","","","","","","","","","","","","Qu'as-tu pensé de ces récentes animations organisées par le Super Cafoutch ?","","","","","","","","","","",""
"entre 20 et 30 ans","salarié.e à plein temps","une femme","entre 6 mois et un an","une fois par mois","bien","très bien","bien","bien","très bien","très bien","très bien","très bien","bien","très bien","très bien","pas terrible","très bien","très bien","très bien","","","oui","X","","X","","","","","","","X","","","","","","X","","","","","","","","","","","","","une fois par mois","","","","","","","","X","","","","","X","","X","X","","","","","","X","","","","","","X","","","X","","","","","","","","","","oui","","","","","","","oui","","","","","","","On se met à jour !","","oui","non","","","","","","","","","","oui tout à fait","Prévoir un portant qui regroupe toutes les fiches techniques pour tenir l'accueil / la caisse / le lavage au même endroit","j’y ai déjà accès","bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","","","",""
"plus de 60 ans","retraité.e","une femme","depuis la nuit des temps","une fois par mois","bien","bien","bien","bien","bien","bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","oui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","je n'ai jamais fait de créneau","","","","","","X","tout ce qui est physique n'est pas pour moi. Je fais un petit travail participatif en compta.","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","les infos données","","oui","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","pas d'avis","pas d'avis","pas d'avis","pas d'avis","bien","très bien","pas d'avis","bien","","","",""
"entre 30 et 40 ans","salarié.e à plein temps","une femme","depuis la nuit des temps","une fois tous les deux mois (ou plus)","très bien","bien","bien","bien","bien","bien","bien","très bien","pas terrible","bien","bien","mauvais","très bien","très bien","bien","","que l'épicerie fasse un peu moins ""cafoutch"" et un peu plus pro ","oui","","","","","","X","X","","","","","","","","","","","","","","","","X","X","","","X","X","moins d'une fois par mois","","","","","","","","","X","","X","","","","","","","X","X","","","","","","","","","","","","","","","","X","X","X","","X","X","oui","","","","","","","non","","X","X","","","","","","oui","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","très bien","très bien","très bien","très bien","pas d'avis","très bien","très bien","bien","","","","J'aime notre énergie, mais j'en veux plus !!"
"plus de 60 ans","retraité.e","une femme","il y a moins de 6 mois","une fois par semaine","pas terrible","bien","bien","bien","bien","bien","bien","très bien","bien","bien","bien","bien","bien","bien","bien","Tofu, sojade, champignons frais, pain et brioche du bar à pain","je ne sais pas, c'est toujours un plaisir","oui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","une fois par mois","","","","","","","","","","","","","","X","X","X","X","","","","","","","X","","","X","","","X","","","X","","","","","","","","oui","","","","","","","non","","","","","X","je n'ai pas eu connaissance de forum depuis que je suis coopératrice. Je suis venue à une AG.","","","non","oui","X","","","","","","","","am.guglielmi@orange.fr","un peu","","je ne savais pas que ça existait mais ça ne m’intéresse pas","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","bien","bien","","","","Ce qui me plait beaucoup, c'est de faire mes courses sans enrichir ni exploiter personne. Et l'action collective"
"entre 20 et 30 ans","salarié.e à plein temps","un homme","il y a moins de 6 mois","une fois par mois","pas terrible","très bien","pas terrible","bien","très bien","bien","très bien","bien","bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","plus de choix de légumineuses : tofu, plus de pois chiches en conserve, pois cassés, haricots blancs rouges azuki en conserve","","oui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","moins d'une fois par mois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","","non","","","","X","","","","","non","oui","","X","","","","X","","","yvon.kerdoncuff@gmail.com","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","bien","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 40 et 50 ans","salarié.e à plein temps","un homme","entre 6 mois et un an","deux fois par mois","bien","bien","bien","bien","pas d'avis","pas terrible","bien","très bien","bien","bien","très bien","bien","bien","bien","pas terrible","Papeterie, nourriture animaux et litière, glacières et caddy avec logo SC comme à la Louve ;) ... ","Coin rencontre (2, 3 fauteuils, table basse et mange debout..fontaine à eau, café, thé) ","oui","","","","","","X","","","","","","","","","","","","","","","","","X","X","","","","","une fois par mois","","","","","","","","","","","","","","","","","","X","X","","","","","","","","","","","","","","","","X","X","X","X","X","X","oui","","","","","","","oui","","","","","","","La convivialité, les rencontres, l'implication possible ","Donner la parole (réserver un temps pour ça) aux membres pour aborder un sujet qui n'est pas à l'ordre du jour","non","oui","X","","X","","X","","","","","oui tout à fait","Un fascicule remis systématiquement à chaque adhésion qui explique fonctionnement, organisation, Slack, site Web avec shift... ","j’y ai déjà accès","bien","bien","pas d'avis","très bien","très bien","très bien","très bien","très bien","","","","Carte de membre est souvent demandée. On pourrait faire des stickers : appartenance, communication passive...) ,"
"plus de 60 ans","retraité.e","une femme","entre 6 mois et un an","deux fois par mois","bien","pas terrible","bien","bien","bien","bien","très bien","très bien","bien","bien","bien","bien","bien","bien","bien","","","oui","","X","","","X","","","","","","","X","","","","","","","","","X","","","","","","","","une fois par mois","","","","","","","","","X","","","","","X","X","X","","","","","","","","X","","","X","","","X","","","","","","","","","","","oui","","","","","","","oui","","","","","","","échange direct, connaitre mieux les coopératrices/coopérateurs","","oui","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","très bien","pas d'avis","pas d'avis","pas d'avis","bien","pas d'avis","très bien","très bien","","","",""
"entre 40 et 50 ans","retraité.e","une femme","depuis la nuit des temps","deux fois par mois","pas terrible","bien","bien","pas terrible","très bien","très bien","bien","très bien","très bien","pas terrible","très bien","bien","pas terrible","très bien","bien","plus de légumes et de vrac: petits flocons d'avoine, riz complet, farine, épices, dattes,figues séchées...","+ de place pour circuler. Des arceaux à vélo à proximité dehors pour faciliter le transport.","oui","X","","","X","X","","","","X","X","","","","","","","X","X","","X","X","","","","","","","","une fois par mois","","","","","","","","","","X","","","X","","","","X","","","X","X","","","","","","","","","","","X","X","","","","","","","","oui","","","","","","","oui","","","","","","","rencontre des autres membres, moment convivial, actualisation des infos, réflexion commune","faire varier le jour des forums pour que les personnes indisponibles le jeudi soir puissent venir de temps en temps","non","oui","","","","","X","","","","domdubar@gmail.com","un peu","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","pas d'avis","pas d'avis","très bien","","",""," Des tables à l'entrée du magasin pour pouvoir faire son paquetage tranquillement, noté une info, ou discuter autour d'1 verre.."
"entre 40 et 50 ans","salarié.e à plein temps","une femme","il y a moins de 6 mois","deux fois par mois","bien","bien","bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","bien","bien","bien","","","non","X","X","","X","X","","","","X","X","","X","X","","","","","X","X","","X","X","","","","","","","une fois par mois","","","","","","","","","","","","","X","X","","X","","","","","X","X","","X","","","","","","X","X","","","","","","","","","","oui","","","","","","","non","","","","","","","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 30 et 40 ans","salarié.e à plein temps","un homme","il y a moins de 6 mois","une fois par mois","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","très bien","très bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","Devenir un vrai supermarché","non","","","X","","","X","X","","","","","","","X","X","","","","","","","","X","X","","X","","","moins d'une fois par mois","","","","","","","","","X","","X","","","","X","","","X","X","","","","","","","X","X","X","","","","","","","X","X","X","X","","","oui","","","","","","","oui","","","","","","","L'ambiance, les gens, la sensation que tout est possible","Je voudrai qu'on parle plus du futur supermarché, qu'on organise plus de forum interactif avec une participation active","oui","non","","","","","","","","","","un peu","Une procédure simple, unique pour tous. L'accès à tous les outils de communication et d'infor et des explications à ce sujet.","j’y ai déjà accès","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 50 et 60 ans","salarié.e à plein temps","une femme","depuis la nuit des temps","une fois par mois","pas terrible","très bien","très bien","bien","bien","pas d'avis","bien","très bien","bien","bien","très bien","bien","bien","bien","très bien","Capsules de café réutilisables","","oui","","","","","","X","","","","","","","","","","","","","","","","","","","X","","","","une fois par mois","","","","","","","","","","","X","","","","","","","X","","","","","","","","","","","","","","","","","","X","","","","","oui","","","","","","","non","","X","X","","","","","","oui","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","pas d'avis","pas d'avis","bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","","C'est très chouette et le fait que tous les consommateurs participent créent une entr'aide bien sympathique"
"entre 40 et 50 ans","salarié.e à plein temps","une femme","entre 6 mois et un an","une fois par mois","pas terrible","pas terrible","pas terrible","bien","bien","bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","bien","bien","bien","Des yaourts végétaux si cela existe de marques bio et française","","oui","","","X","","","X","X","","","","","","","X","","","","","","","","","X","X","","","X","","une fois par mois","","","","","","","","","X","X","","","","","X","","","","","","","","","","","X","","","","","","","","","","","","","","","oui","","","","","","","non","","X","","","","","","","oui","non","","","","","","","","","","oui tout à fait","Organiser des apéros entre anciens et nouveaux","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","bien","bien","bien","pas d'avis","bien","bien","pas d'avis","","","",""
"plus de 60 ans","retraité.e","une femme","il y a moins de 6 mois","une fois par mois","pas terrible","bien","pas terrible","bien","très bien","très bien","bien","bien","bien","pas terrible","bien","pas terrible","pas terrible","bien","bien","","","non","","X","","","","X","","","","","","X","","","","","","","","","","","","X","","","","","une fois par mois","","","","","","","","","X","X","","","","X","","","","X","","","","","","X","","","","","","","","","","","","X","","","","","non","","X","","","","","oui","","","","","","","Les explications, la convivialité ","","oui","non","","","","","","","","","","un peu","","j’y ai déjà accès","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","","","",""
"entre 40 et 50 ans","salarié.e à plein temps","une femme","depuis la nuit des temps","une fois par mois","pas terrible","bien","bien","bien","très bien","très bien","bien","très bien","bien","pas terrible","pas d'avis","pas terrible","bien","bien","bien","sachets-recharges filtres à eau pour carafes, machines à café...","pouvoir régler en tickets restaurant","non","","","X","","","X","X","","","","","","","X","X","X","","","","","","","X","X","X","X","X","X","moins d'une fois par mois","","","","","","","","","X","","X","","","","X","","","X","X","","","","","","","","X","X","","","","","","","","X","X","","X","X","oui","","","","","","","oui","","","","","","","diversité des thèmes abordés, échanges par petits groupes, restitutions","communiquer davantage sur thème de prochain forum pour inciter à venir","oui","non","","","","","","","","","","oui tout à fait","procédure + encadrée ?","j’y ai déjà accès","bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","ateliers DIY (culinaires, produits d'entretien et cosmétique...)","non","",""
"entre 30 et 40 ans","auto-entrepreneu.r.se","un homme","depuis la nuit des temps","une fois tous les deux mois (ou plus)","bien","bien","pas terrible","très bien","très bien","très bien","bien","très bien","bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","oui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","moins d'une fois par mois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","","","oui","oui","","X","","","","","","","augustin.bouet@neuf.fr","oui tout à fait","","j’y ai déjà accès","bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","bien","","","",""
"entre 30 et 40 ans","salarié.e à mi-temps","une femme","entre 6 mois et un an","jamais","","","","","","","","","","","","","","","","","","non","X","","","","","","","X","X","X","","","","","","","","","","","","","","","","","","","moins d'une fois par mois","","","","","","","","","","","X","","X","","","","","","","","X","","","","","","","","","","","","","","","","","","","","oui","","","","","","","non","","X","","","","","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 40 et 50 ans","salarié.e à mi-temps","une femme","entre 6 mois et un an","deux fois par mois","pas terrible","pas terrible","bien","pas terrible","bien","bien","bien","bien","pas terrible","pas terrible","bien","pas d'avis","pas terrible","bien","pas d'avis","Produits végétaux : tofu, seitan, tempeh en bloc, crème, dessert... Farines sans gluten Huile d’olive 3l tampons hyg sans applic","Ouverture en journée, Musique, ambiance cool, deco","non","X","","","X","","X","","","X","","","","","","","","","X","","","","","","X","","","","","une fois par mois","","","","","","","","","X","","","","X","X","","X","","","","X","X","","X","X","","","","","X","X","","","","","","","","","","","oui","","","","","","","non","","X","","","","","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça ne m’intéresse pas","pas d'avis","pas d'avis","très bien","pas d'avis","pas d'avis","pas d'avis","très bien","très bien","Pas d’avis sur ce que je n’ai pas expérimenté mais super propositions ! Réaliser des produits galéniques, alimentaires et cosmét","oui","astrid.giorgetta@free.fr","Échanges, proximité, convivialité "
"entre 50 et 60 ans","retraité.e","une femme","entre 6 mois et un an","une fois par semaine","pas terrible","bien","pas terrible","très bien","très bien","très bien","pas terrible","bien","bien","bien","bien","bien","bien","très bien","bien","","Pas de rupture de stock à partir du milieu de semaine","oui","","X","","X","X","X","","","","","X","X","","","","","","X","X","X","X","","","X","","","","","plus d'une fois par mois","","","","","","","","","","","X","","","X","","X","","X","","","","","","X","","","","","","X","X","","","","","X","X","","","","oui","","","","","","","non","","X","","","","","","","oui","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 50 et 60 ans","salarié.e à plein temps","une femme","il y a moins de 6 mois","deux fois par mois","pas terrible","bien","bien","bien","bien","bien","très bien","très bien","bien","bien","bien","pas terrible","très bien","très bien","très bien","Des produits d’entretien en vrac + de choix en fruits et légumes","","oui","","","","","","","X","","","","","","","","","","","","","","","","","","","X","","","une fois par mois","","","","","","","","","X","","X","","","","","","","X","X","","","","","","","","","","","","","","","","X","X","","X","","","oui","","","","","","","non","","","","","X","J’ai rejoint le super cafoutch depuis un mois seulement","","Pas très precis pour moi donc pas d’idée pour le moment","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","Déjà beaucoup d’idées...pas d’autres idées pour le moment ","non","",""
"entre 20 et 30 ans","salarié.e à plein temps","une femme","entre 6 mois et un an","une fois par mois","pas terrible","très bien","bien","bien","bien","bien","bien","bien","bien","pas terrible","très bien","bien","bien","bien","bien","de la viande et plus de fruits ","","oui","X","X","X","","","","","","","X","","","X","","","X","","","","","","","","","","","","","une fois par mois","","","","","","","","","X","","","","X","","","","","","","","","X","","","","","","","","","","","","","","","","","","","oui","","","","","","","non","","","","X","","","","","non","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","très bien","très bien","très bien","très bien","très bien","bien","très bien","très bien","","","",""
"entre 20 et 30 ans","salarié.e à mi-temps","une femme","entre 6 mois et un an","une fois par semaine","pas terrible","très bien","bien","pas terrible","bien","bien","très bien","très bien","bien","bien","très bien","bien","pas terrible","bien","pas terrible","figues séchées","","oui","","","","","","","X","","","","","","","","","","","","","","","","","","","","X","","plus d'une fois par mois","","","","","","","","","X","","X","","","","X","","","","","","","","","","","","","X","","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","convivialité, les infos données","","oui","non","","","","","","","","","","pas vraiment","temps d'acceuil des nouveaux (cf food coop)+ formations // parrainage","j’y ai déjà accès","pas terrible","pas d'avis","pas d'avis","très bien","bien","pas d'avis","très bien","très bien","","","","merci pour le super boulot de ce sondage <3"
"entre 30 et 40 ans","salarié.e à plein temps","un homme","il y a moins de 6 mois","une fois par mois","pas terrible","pas terrible","bien","bien","bien","bien","bien","bien","pas terrible","bien","bien","bien","bien","bien","bien","de la bonne vraie bonne viande de toute sorte","","oui","","","","","","","X","","","","","","","","","","","","","","","","","","","X","","","une fois par mois","","","","","","","","","","","","","","","","","","X","X","","","","","","","","","","","","","","","","X","","","X","","","oui","","","","","","","oui","","","","","","","","","oui","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","très bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","","","",""
"entre 40 et 50 ans","salarié.e à plein temps","une femme","il y a moins de 6 mois","une fois tous les deux mois (ou plus)","bien","très bien","bien","pas d'avis","pas d'avis","pas d'avis","très bien","très bien","très bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","oui","X","","X","","X","","","","X","","","","","","","X","","","","","X","","","","","","","","moins d'une fois par mois","","","","","","","","","X","X","X","","","X","","","","","","","","","","X","","","","","","","","","","","","","","","","","oui","","","","","","","non","","X","X","","","","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça ne m’intéresse pas","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 20 et 30 ans","auto-entrepreneu.r.se","un homme","il y a moins de 6 mois","une fois par semaine","bien","pas terrible","bien","très bien","très bien","très bien","bien","bien","mauvais","pas terrible","très bien","pas terrible","mauvais","très bien","mauvais","du lait","L'écoute","oui","","X","","X","","X","","","","","","","X","","","","","","X","","","","","X","X","","","","une fois par mois","","","","","","","","","X","X","X","","X","X","X","X","X","X","X","","X","X","","X","X","","X","X","","X","X","","X","X","X","X","X","X","X","X","oui","","","","","","","oui","","","","","","","la diversité de gens présents ","les étapes qui nous mèneront au nouveau supermarché (recherche du local, puis installation pratique, puis stratégie d'approche)","non","oui","","","X","","","","","","adrien.piquera@outlook.fr","pas vraiment","des réunions nouveaux","je ne savais pas que ça existait mais ça m’intéresse","très bien","pas d'avis","pas d'avis","pas d'avis","très bien","très bien","très bien","très bien","tout","oui","",""
"entre 20 et 30 ans","salarié.e à plein temps","un homme","depuis la nuit des temps","une fois par semaine","très bien","très bien","bien","bien","bien","très bien","très bien","très bien","très bien","très bien","très bien","bien","bien","bien","bien","Flocon d'avoine en vrac","","oui","","","X","X","X","X","","","","","","","","","","X","","","X","","","X","","X","","","","","moins d'une fois par mois","","","","","","","","X","X","","X","","","","","","","X","X","","","","","","","","","","","","","","","","","X","","","X","","oui","","","","","","","non","","X","","","","","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 20 et 30 ans","salarié.e à plein temps","une femme","il y a moins de 6 mois","une fois par mois","pas terrible","bien","bien","pas terrible","bien","bien","très bien","très bien","très bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","J'aimerais encore plus de possibilités de produits en vrac","non","X","","","X","","","X","X","X","","","","","","","","","","X","","","","","","","","X","","une fois par mois","","","","","","","","","","","X","","X","","","","","","X","X","X","","","","","","","","","","","","","","","","","","X","","oui","","","","","","","non","","","","X","","","","","non","non","","","","","","","","","","un peu","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"mois de 20 ans","étudiant.e","une femme","entre 6 mois et un an","deux fois par mois","bien","bien","bien","pas terrible","très bien","très bien","très bien","très bien","bien","pas terrible","très bien","pas terrible","très bien","bien","bien","","","oui","X","","X","","","X","","","","X","","","","","","X","","","","","","","","","X","","","","moins d'une fois par mois","","","","","","","","X","","X","","","X","","X","","","X","X","","","X","","","","","","X","","","","","","","X","","","X","","","oui","","","","","","","non","X","","X","","","","","","non","non","","","","","","","","","","un peu","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","très bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 20 et 30 ans","auto-entrepreneu.r.se","une femme","depuis la nuit des temps","deux fois par mois","pas terrible","pas terrible","pas terrible","bien","bien","bien","très bien","très bien","très bien","bien","bien","bien","très bien","très bien","très bien","","","oui","","","","X","","","","","","","","","","","","","","X","","","","","","","","","","","moins d'une fois par mois","","","","","","","","","","","X","","X","","","","","X","X","X","","","","","","","","","","","","","","","","","X","","","X","oui","","","","","","","non","","","","","X","Situation d’emploi peu prévisible dernièrement, à ce jour ce n’est plus le cas...","","","non","oui","","","","","X","","","","ma.ziolk@icloud.com","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","bien","","","",""
"entre 30 et 40 ans","salarié.e à plein temps","un homme","entre 6 mois et un an","une fois par semaine","pas d'avis","très bien","bien","pas terrible","bien","très bien","bien","très bien","bien","bien","très bien","bien","bien","très bien","bien","Vin Naturel, lait frais","","oui","","","","","X","","","","","","","","","","","","","","","","X","","","","","","","","moins d'une fois par mois","","","","","","","","X","","","","","","","","","","X","","","","","","","","","","","","","","","","","X","","","","","","oui","","","","","","","non","","X","","","","","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","bien","bien","bien","bien","bien","bien","bien","bien","","","","Super intiative, un plaisir de faire ses courses, beau projet social, économique et politique"
"entre 30 et 40 ans","auto-entrepreneu.r.se","une femme","depuis la nuit des temps","une fois tous les deux mois (ou plus)","pas terrible","bien","bien","pas terrible","très bien","très bien","bien","très bien","bien","pas terrible","très bien","bien","pas terrible","bien","bien","Pllus de légumineuses en vrac (haricots, pois cassés), noisettes, figues, dates, abricots, plus de beurres et crèmes vegetaux","","oui","X","","","","","","","","","X","","","","","","","","","","","","","","","","","","","moins d'une fois par mois","","","","","","","","","X","X","","","","","","","","X","","","","","","","","","","","","","","","","","","X","","","","","oui","","","","","","","oui","","","","","","","Côté participatif - synthétique - efficacité des échanges ","","oui","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","","","","Merci pour tout! Vivement que le supermarché voit le jour"
"entre 30 et 40 ans","salarié.e à plein temps","un homme","depuis la nuit des temps","deux fois par mois","très bien","très bien","très bien","bien","très bien","bien","bien","bien","pas terrible","bien","bien","pas terrible","bien","très bien","pas terrible","","","oui","X","X","","","","","X","","","X","","","X","","","","","","","","","","","","","X","","X","une fois par mois","","","","","","","","X","X","","","","X","X","","","","","X","","","X","","","X","","","","","","","","","","","","","X","","X","oui","","","","","","","non","","X","","","","","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","très bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","très bien","","","",""
"entre 50 et 60 ans","retraité.e","une femme","depuis la nuit des temps","une fois tous les deux mois (ou plus)","pas terrible","pas terrible","pas terrible","bien","bien","pas terrible","pas d'avis","pas d'avis","pas terrible","pas d'avis","pas d'avis","pas terrible","pas d'avis","pas d'avis","pas terrible","Viande bio, produits cosmétiques bio à des prix raisonnable ","De la qualité a des prix abordables","oui","X","","","","X","","","X","X","","","","","","","","","","","X","X","","","","","","","","moins d'une fois par mois","","","","","","","","X","","X","","","X","","","","X","","","X","X","","","","","","","","","","","X","X","","","","","","","","oui","","","","","","","oui","","","","","","","Convivialité , mélange des générations ","Occasion de faire goûter des nouveaux produits proposés à la vente ?","oui","non","","","","","","","","","","pas vraiment","","j’y ai déjà accès","bien","très bien","très bien","très bien","bien","bien","très bien","bien","Atelier cuisine avec le Thermomix et les produits Supercafoutch ","oui","maibell2@yahoo.fr",""
"entre 30 et 40 ans","salarié.e à plein temps","une femme","entre 6 mois et un an","une fois par mois","bien","bien","bien","bien","bien","très bien","très bien","très bien","très bien","très bien","très bien","bien","bien","très bien","bien","","","oui","","","X","","","","","","","","","","","","X","","","","","","","","","","","","","","une fois par mois","","","","","","","","","X","","","","","X","","","","","","","","","","","X","","","","","","","","","","","","","","","","non","","X","","","","","non","","","","","X","je ne prend pas le temps","","","non","oui","","X","","","","","","","agatheperm@gmail.com","oui tout à fait","","j’y ai déjà accès","très bien","très bien","très bien","très bien","bien","bien","bien","très bien","","","","C'est un super projet "
